name,price,lng,lat,rate_score
翠苑东四区,44158,120.13109588623048,30.29246711730957,149.866
保亭社区,68832,120.1400375366211,30.29645156860352,189.955
翠苑小区,46275,120.13811492919922,30.29693603515625,26.845
古荡湾新村,28053,120.1322784423828,30.291805267333984,175.708
莫干山路599号,52271,120.1497039794922,30.297771453857425,29.48
宋江苑,45047,120.1275863647461,30.298498153686523,35.79
省广电厅宿舍,36940,120.11029052734376,30.274688720703125,113.14
团校宿舍,53422,120.14250183105469,30.28982925415039,123.37
文菁花苑,35125,120.13153076171876,30.2956600189209,125.545
文一路小区,46345,120.1299057006836,30.293832778930664,25.105
文三路402号院,42454,120.13296508789062,30.28343391418457,146.29
学院路178号,47689,120.13584899902344,30.289878845214844,149.665
学苑春晓,0,,,0.0
学院路99号,51592,120.13558197021484,30.283721923828125,29.51
营盘地,68905,120.1395263671875,30.28684234619141,146.37
浙大文一路小区,68832,120.14019775390624,30.29512023925781,125.415
古荡新村西区,34990,120.12008666992188,30.28154563903809,193.915
嘉绿西苑,43857,120.11726379394531,30.285985946655273,184.905
古荡新村东区,35535,120.12387084960938,30.2811279296875,201.249
坤和山水人家三期,39687,120.11685943603516,30.278350830078125,161.833
嘉绿青苑,42697,120.1223373413086,30.2846794128418,27.86
嘉绿文苑,39221,120.12027740478516,30.283403396606445,26.205
龙湖唐宁ONE,51236,120.1248550415039,30.29133605957031,24.45
山水人家,37976,120.1152114868164,30.276531219482425,176.797
毛家桥公寓,47029,120.12290954589844,30.291912078857425,151.791
亚洲城花园西区,35876,120.11886596679688,30.281452178955078,167.43
南都银座公寓,37966,120.11917114257812,30.287857055664066,182.074
西苑小区,28014,120.1198959350586,30.298057556152344,120.701
嘉绿莲苑,43545,120.12349700927734,30.2882137298584,129.389
万塘路小区,42658,120.1303253173828,30.28684234619141,132.024
文三西路小区,42033,120.11581420898438,30.282123565673828,129.235
月桂花园别墅,40106,120.11219787597656,30.282310485839844,132.493
丹桂花园,49036,120.1047134399414,30.281604766845703,113.028
东岳公寓,19355,120.09687042236328,30.261173248291016,193.855
古荡桥,56674,120.12986755371094,30.28282356262207,171.575
古荡湾北苑,45449,120.12947845458984,30.286102294921875,108.185
古荡小区,51537,120.1223602294922,30.278425216674805,133.968
古南社区,49175,120.1209945678711,30.27926826477051,128.73
华立碧水铭苑别墅,24045,120.04650115966795,30.28193473815918,87.285
黄姑山庄,41626,120.14068603515624,30.28125762939453,32.66
华星科技苑,51675,120.13044738769531,30.280010223388672,38.32
杭大路38号院,68444,120.14865112304688,30.27547264099121,197.215
嘉绿南苑,40878,120.12428283691406,30.284481048583984,160.01
聚龙大厦公寓,66206,120.14594268798828,30.27507781982422,138.1
聚丰公寓,59671,120.1340560913086,30.27731704711914,193.85
嘉乐金座,35182,120.12052917480469,30.293132781982425,98.9
浪琴翠园,45511,120.13404846191406,30.30247688293457,152.163
蓝海时代国际大厦,39671,120.11997985839844,30.28627777099609,37.51
龙都大厦公寓,51903,120.12586975097656,30.278738021850586,143.675
老东岳别墅,52789,120.10143280029295,30.26463508605957,93.96
炮台公寓,37976,120.11378479003906,30.27761459350586,76.31
省高院华星路宿舍,45437,120.12932586669922,30.285602569580078,120.33
省统计局宿舍,43026,120.14116668701172,30.28706359863281,54.575
天目山路338号,51903,120.12897491455078,30.278526306152344,163.875
益乐新村,20724,120.11700439453124,30.28873062133789,90.825
亚洲城别墅,34547,120.11929321289062,30.282339096069336,110.236
求是新村,65079,120.13448333740234,30.26947593688965,138.675
世贸丽晶城,67305,120.14466857910156,30.27964210510254,186.665
外东山弄,60050,120.13465881347656,30.26357841491699,166.063
曙光新村,66593,120.13758850097656,30.26716613769531,116.833
绿园,64803,120.13536071777344,30.2716007232666,206.167
黄龙雅苑,60732,120.1446533203125,30.27568244934082,230.123
庆丰新村,46121,120.13335418701172,30.275089263916016,140.968
里东山弄,58944,120.1356964111328,30.26457214355469,165.069
梧桐公寓,52601,120.1358642578125,30.29299736022949,59.13
丁香公寓,44451,120.13831329345705,30.277328491210934,34.074
曙光公寓,66607,120.1371612548828,30.26237487792969,113.89
国际花园,31693,120.14435577392578,30.27799415588379,180.595
世贸丽晶城EAC公寓,64000,120.14366912841795,30.27988052368164,52.734
世贸丽晶城栖霞苑,61207,120.14864349365234,30.277891159057614,125.468
世贸丽晶城初阳苑,55505,120.14864349365234,30.277891159057614,46.82
桃花弄小区,54654,120.1562728881836,30.27500343322754,144.973
天目山路101号,46014,120.10787963867188,30.27294540405273,84.145
世贸丽晶城望湖苑,58871,120.14864349365234,30.277891159057614,140.891
世贸丽晶城玉泉苑,58548,120.14864349365234,30.277891159057614,127.993
世贸丽晶城宝石苑,61733,120.14864349365234,30.277891159057614,165.22
黄龙世纪苑,58542,120.14581298828124,30.276165008544922,113.24
黄龙雅苑公寓,65323,120.14466094970705,30.275503158569336,48.935
教工路131号院,70320,120.1417465209961,30.29030036926269,32.085
欧美中心,27611,120.14359283447266,30.277603149414066,23.63
天目山路228号,66342,120.13418579101562,30.27973556518555,126.075
华苑公寓,55851,120.10450744628906,30.29369354248047,158.46
政新花园,54196,120.10543823242188,30.29706954956055,160.01
紫荆欣苑,67403,120.10009002685548,30.29828643798828,62.413
泰和中央广场,32105,,,6.47
金桂大厦,24451,120.10574340820312,30.28829765319824,181.435
星洲花园排屋,67035,120.1019515991211,30.29511833190918,134.29
登新公寓,21842,120.0964126586914,30.284194946289066,135.25
富越香墅,47837,120.0958251953125,30.29723358154297,110.843
蒋村花园,25489,120.08892059326172,30.2893180847168,56.82
嘉禾花苑,35177,120.1024169921875,30.27819061279297,27.115
骆家庄西苑,23655,120.09918212890624,30.291423797607425,77.51
通策在河之洲,40964,120.04356384277344,30.277915954589844,115.51
